,id,label,comments
610,209676243,Magazine,8
611,209655500,Bug,4
612,209655500,Tiles,4
613,209655500,Windows,4
614,209652742,Bug,1
615,209652742,Mapgen,1
616,209559400,Bug,2
617,208669137,Bug,2
618,208669137,Confirmation Needed,2
619,208649896,Bug,17
620,208649896,Vehicle,17
621,207231516,Bug,8
622,207231516,Confirmation Needed,8
623,207102053,Bug,3
624,207049951,Bug,5
625,207049951,Confirmation Needed,5
626,207049951,Other,5
627,206888306,Bug,7
628,206888306,Mapgen,7
629,206376086,Bug,2
630,206376086,Build,2
631,205471060,Bug,2
632,205471060,NPC,2
633,205334844,Bug,3
634,205334844,NPC,3
635,204499772,Bug,4
636,204499772,Information / Interface,4
637,203872104,Bug,7
638,203872104,Translation,7
639,203843398,Bug,4
640,203843398,Confirmation Needed,4
641,203843398,Information / Interface,4
642,202772120,Bug,6
643,202772120,Information / Interface,6
644,202428092,Bug,2
645,202428092,Confirmed,2
646,202428092,Mission,2
647,202423616,Bug,5
648,202423616,NPC,5
649,202398425,Bug,0
650,202398425,Information / Interface,0
651,202362005,Bug,1
652,202362005,Confirmed,1
653,202297473,Bug,5
654,202297473,Confirmed,5
655,202297473,Information / Interface,5
656,202297473,Windows,5
657,201760895,Bug,8
658,201409979,Bug,8
659,201409979,Confirmed,8
660,201123374,Bug,6
661,201123374,Confirmation Needed,6
662,201123374,Vehicle,6
663,201044511,Bug,2
664,201044511,Information / Interface,2
665,200884736,Bug,2
666,200884736,NPC,2
667,200884736,Z-levels,2
668,200813967,Bug,6
669,200813967,Priority,6
670,200610061,Bug,5
671,200288510,Battery,18
672,200288510,Bug,18
673,199989450,Bug,16
674,199669528,Bug,8
675,199669528,Translation,8
676,199610610,Bug,0
677,199610610,Vehicle,0
678,199465543,Bug,1
679,199465543,Long-term,1
680,199406462,Bug,6
681,199406462,Confirmed,6
682,199406462,NPC,6
683,199394414,Bug,3
684,199394414,Mapgen,3
685,199381442,Bug,4
686,199381442,Gunmod / Toolmod,4
687,199380653,Bug,3
688,199380653,Vehicle,3
689,199380496,Bug,1
690,199380496,Confirmation Needed,1
691,199216336,Bug,11
692,199216336,Confirmed,11
693,199216336,Mapgen,11
694,199158295,Bug,6
695,199158295,Mapgen,6
696,198544329,Bug,2
697,198544329,Confirmation Needed,2
698,198543820,Bug,3
699,198380599,Bug,3
700,198380599,Mapgen,3
701,198360683,Bug,0
702,198360683,Confirmation Needed,0
703,198252013,Bug,5
704,198252013,Confirmation Needed,5
705,198240296,Bug,0
706,198240296,NPC,0
707,198232925,Bug,14
708,198232925,Confirmation Needed,14
709,198232925,Information / Interface,14
710,198212673,Bug,6
711,198212673,Gunmod / Toolmod,6
712,198093614,Bug,6
713,198093614,Information / Interface,6
714,198087937,Bug,2
715,198087937,Crafting / Construction,2
716,197883717,Bug,1
717,197883717,Confirmation Needed,1
718,197883717,Information / Interface,1
719,197750534,Bug,12
720,197750534,Vehicle,12
721,197748038,Bug,0
722,197748038,NPC,0
723,197747276,Bug,8
724,197747276,Crafting / Construction,8
725,197747276,Vehicle,8
726,197741416,Bug,0
727,197621332,Bug,29
728,197621332,Vehicle,29
729,197603351,Bug,6
730,197548224,Bug,4
731,197086599,Bug,7
732,197086599,NPC,7
733,196978203,Balance,1
734,196978203,Bug,1
735,196978203,Z-levels,1
736,196742193,Bug,1
737,196742193,Information / Interface,1
738,196267362,Bug,8
739,196267362,Mapgen,8
740,196260627,Bug,1
741,196260627,Confirmation Needed,1
742,196255889,Bug,4
743,196255889,Information / Interface,4
744,196255889,Vehicle,4
745,196254140,Aiming,2
746,196254140,Bug,2
747,196254140,Confirmed,2
748,196254140,NPC,2
749,196091023,Bug,2
750,195953370,Bug,5
751,195953370,Vehicle,5
752,195878861,Bug,13
753,195878861,Vehicle,13
754,195504284,Bug,5
755,195504284,Confirmation Needed,5
756,195504284,Crafting / Construction,5
757,195241820,Bug,0
758,195241820,NPC,0
759,195210575,Bug,10
760,195210575,Easy-fix,10
761,195210575,JSON,10
762,195051707,Aiming,2
763,195051707,Bionics,2
764,195051707,Bug,2
765,194878808,Bug,8
766,194878808,Mapgen,8
767,194875271,Bug,6
768,194875271,Information / Interface,6
769,194875271,Magazine,6
770,194869901,Bug,5
771,194869901,Easy-fix,5
772,194869901,JSON,5
773,194865461,Bug,1
774,194865461,NPC,1
775,194865461,Vehicle,1
776,194813687,Bug,5
777,194811841,Bug,2
778,194811841,Confirmed,2
779,194811841,Information / Interface,2
780,194750097,Bug,0
781,194750097,Easy-fix,0
782,194750097,Information / Interface,0
783,194730054,Bug,5
784,194730054,Information / Interface,5
785,194702601,Bug,0
786,194419227,Battery,4
787,194419227,Bug,4
788,194419227,Vehicle,4
789,194418345,Bug,4
790,194418345,Confirmed,4
791,194418345,Information / Interface,4
792,194418345,OSX,4
793,194292301,Bug,7
794,194292301,Gunmod / Toolmod,7
795,194292301,Inventory / AIM,7
796,194198273,Bug,0
797,194198273,Mods,0
798,194198273,Vehicle,0
799,193965349,Bug,6
800,193965349,Confirmation Needed,6
801,193965349,Vehicle,6
802,193915766,Bug,2
803,193915766,Enhancement,2
804,193910985,Bug,2
805,193910985,Information / Interface,2
806,193750970,Bug,0
807,193680968,Bug,6
808,193406695,Bug,7
809,193406695,Confirmed,7
810,193390662,Bug,6
811,193376125,Bug,0
812,193376125,Information / Interface,0
813,193374125,Bug,0
814,193366317,Bug,4
815,193366317,Mapgen,4
816,193365147,Bug,1
817,193365147,Duplicate,1
818,193329458,Bug,4
819,193329458,Confirmed,4
820,193329458,Information / Interface,4
821,193323656,Bug,6
822,193321053,Bug,6
823,193287640,Bug,6
824,193287640,Confirmed,6
825,193287640,Information / Interface,6
826,193246516,Bug,1
827,193246516,Duplicate,1
828,193185327,Bug,2
829,193103292,Bug,25
830,192963907,Bug,114
831,192963907,Performance,114
832,192941072,Bug,3
833,192941072,Duplicate,3
834,192830238,Bug,5
835,192830238,JSON,5
836,192816158,Bug,4
837,192798384,Bug,2
838,192777288,Bug,9
839,192777288,Confirmation Needed,9
840,192773715,Bug,2
841,192773715,Easy-fix,2
842,192773715,Information / Interface,2
843,192727937,Bug,8
844,192727937,Duplicate,8
845,192691280,Bug,0
846,192588489,Bug,27
847,192585695,Bug,1
848,192581479,Bug,6
849,192566860,Bug,0
850,192563907,Bug,9
851,192451051,Bug,0
852,192240819,Bug,4
853,192240819,Information / Interface,4
854,192119403,Bug,0
855,192119403,NPC,0
856,192019728,Bug,2
857,191946696,Bug,1
858,191946696,Confirmed,1
859,191946696,Information / Interface,1
860,191946696,Monsters,1
861,191888997,Bug,4
862,191888997,Mods,4
863,191886629,Bug,0
864,191884944,Bug,0
865,191883361,Bug,0
866,191877781,Bug,2
867,191876348,Bug,0
868,191876348,Enhancement,0
869,191875248,Bug,2
870,191875248,NPC,2
871,191869744,Bug,0
872,191868979,Bug,1
873,191864568,Bug,0
874,191863344,Bug,0
875,191861750,Bug,0
876,191860453,Bug,2
877,191857466,Bug,0
878,191854098,Bug,1
879,191854098,Information / Interface,1
880,191834011,Bug,2
881,191832979,Bug,0
882,191832350,Bug,9
883,191832350,Confirmed,9
884,191832350,Crafting / Construction,9
885,191832213,Bug,3
886,191832131,Bug,3
887,191826826,Bug,0
888,191825334,Bug,0
889,191824597,Bug,1
890,191821776,Bug,1
891,191821776,Priority,1
892,191821776,Vehicle,1
893,191791175,Bug,1
894,191791175,Information / Interface,1
895,191783447,Bug,1
896,191782758,Bug,2
897,191777095,Bug,7
898,191777095,Confirmed,7
899,191777095,Crafting / Construction,7
900,191733194,Bug,1
901,191733194,Confirmed,1
902,191733194,Crafting / Construction,1
903,191733194,Gunmod / Toolmod,1
904,191708814,Bug,8
905,191708814,Enhancement,8
906,191691000,Bug,26
907,191691000,Vehicle,26
908,191628743,Battery,12
909,191628743,Bug,12
910,191628743,Confirmed,12
911,191628743,Crafting / Construction,12
912,191628743,Information / Interface,12
913,191628743,Vehicle,12
914,191534568,Bug,5
915,191487072,Bug,3
916,191487072,Confirmed,3
917,191487072,Vehicle,3
918,191462377,Bug,9
919,191462377,Mapgen,9
920,191461727,Bug,0
921,191461727,Vehicle,0
922,191380102,Bug,5
923,191380102,Confirmation Needed,5
924,191166679,Bug,3
925,191166679,Vehicle,3
926,191153281,Bug,3
927,191151523,Bug,3
928,191151523,Mapgen,3
929,191110645,Bug,2
930,191110645,Duplicate,2
931,191025448,Bug,3
932,191025448,Mods,3
933,190794051,Bug,3
934,190790212,Bug,12
935,190790212,Easy-fix,12
936,190790212,Mods,12
937,190591795,Bug,1
938,190591795,Z-levels,1
939,190546912,Bug,3
940,190546912,Suggestion (Discuss),3
941,190531356,Bug,7
942,190531356,Confirmed,7
943,190531356,Vehicle,7
